,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Agricultural, Timber, Packaging & Building Materials",Automobiles & Auto Components,Banks,Capital Goods,Capital Markets,Chemicals,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy Equipment & Services,Food & Staple Retailing,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Healthcare Equipment & Services,Household & Personal Products,Insurance,Internet Retail & Consumer Electronics,Media,Metals & Mining,Oil & Gas E&P,"Oil, Gas & Consumable Fuels","Pharmaceuticals, Biotechnology & Life Sciences",REIT,Real Estate Services,Retailing,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecom Services,Transportation,Utilities,cusip,issuer,permno,residual,PredictedBeta,PredictedVolatility
AAL,-1.8436183872262828,0.29073331559238924,-0.29506986992437634,0.3830574281748762,0.47122283110503116,-0.9548206023846395,-0.7662473573719875,0.012193404258843875,0.019019296751199122,-1.121071013453527,-0.3189054462413058,-0.8105578885533401,-0.40366867724227506,0.016953497376666106,-0.7439769895994212,1.2537497609882473,-0.5835811935152074,-1.8423150913109305,-1.0323195599706625,1.5102514092033097,0.31410604394862124,2.7191318111229865,0.825968259532338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,02376R102,AMERICAN AIRLINES GROUP INC,199960,0.06343642397202309,1.2928151670286683,0.38787994400485043
AAM,-1.11845243035703,0.0,-0.6829379032248972,-0.7898147153858753,0.0,0.0,0.0,-0.19005907878898298,0.0,-2.8974043848805326,-0.811278483088478,0.0,0.0,-0.0,0.0,-0.0,0.0927145207486586,-1.5682769919273563,-1.054558143818064,-1.1238103004399331,-1.66484715745806,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AA MISSION ACQUISITION CORP,642140,0.01810320385687258,0.3592882559072267,0.2057614905785668
AAME,1.3355808045652353,2.341116890758104,0.0,-0.9933412089678186,0.0,0.0,1.1822416757640388,-0.43384049508024053,0.019019296751199122,-0.593541708830984,-0.34301495252904746,-0.8657978357314308,-0.730691667958236,0.08538456576531621,-0.9999174558022068,-0.0,-0.0,-2.0570415528838994,0.0,2.603932284303413,-0.9188047098407108,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,048209100,ATLANTIC AMERICAN CORP,199933,0.17428075806000393,0.8662211788584058,0.4729267172962004
AAMI,-1.6792046524707767,-0.03353173291785568,0.0,0.4569202163547778,0.0,0.0,0.0,-1.5587998813455965,0.019019296751199122,2.2309401961774826,1.6208966524413975,-1.4905944210630893,0.8368032705395086,-0.0,-1.58786272710646,-0.0,-0.0,0.27901627546639424,0.0,0.11674092328121248,0.17257521844066323,-0.5172813293928415,1.3014072864779669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10948W103 G67506108 G1644T109,ACADIAN ASSET MANAGEMENT INC,187453,0.04802509652836434,1.1441811656853242,0.3324145202092451
AAOI,-0.2747713587189306,-0.7083644260921856,-0.8315307541527366,-1.5233308992161891,-2.0380921730768926,-1.3088077372775473,1.283200065800387,2.8794286637186937,1.2517241837797672,-2.4259633484123064,-1.92429735531195,-1.0572667930225648,2.0402557634717122,-3.0,-0.3135495119025466,-2.9292692779643508,-1.919076945963634,-0.5465261354515065,-0.29154037394996674,2.603932284303413,2.090033025071546,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,03823U102,APPLIED OPTOELECTRONICS INC,195742,0.668754284954415,1.7888661922235305,0.9126795265559052
AAON,-0.302342555228474,-0.70507444204418,-0.47171851270268034,-0.784003347714849,-2.001911860355363,-1.3459604382098767,-0.6228381446944614,-0.7477328975192294,-0.05809344848128347,-0.16825298617286052,0.007796636264113946,1.7104162779279606,0.6357380758332737,0.02401549944012749,-0.8346550057144224,-2.43061153850203,-1.9929296983662574,-0.28804312726894055,0.3916371089367409,1.1716643905503807,1.113196491124807,0.7149852033169803,0.9710328291003436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000360206,AAON INC,198259,0.0657913172069201,1.2907238194309196,0.38356511856310416
AAP,2.1105913627447586,2.8442805486826592,3.0,-2.4137732936263747,-2.772348076758287,-1.7829781066712527,-0.6043427932808313,-0.0999448356556239,0.019019296751199122,-1.276482076405441,-2.3643987327473037,-0.7078973978554864,-1.4593085262906058,0.011504603222647706,0.39469869514190103,1.1426329111834725,-0.024876506455947505,1.0473121909618954,-0.20556576232951704,2.2841778521793428,0.18434648919642727,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00751Y106,ADVANCE AUTO PARTS INC,195735,0.182439942638675,1.1314933681820227,0.5078315900338357
AAPG,-1.028951144002185,-0.25091104424637206,3.0,-1.6382075397140812,0.0,0.0,0.0,-0.5547106019686265,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.192398064421857,2.603932284303413,-1.3026226518799902,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,ASCENTAGE PHARMA GROUP INTERNATIONAL,643215,0.4088264745103583,0.5823708305445652,0.674941614019922
AAPL,-0.8447181272855384,-0.5415708532250857,-0.7990935386848308,0.35519529845504616,-0.16335640665896906,-0.5379408662256276,-0.8266404309570287,-0.5515884250103881,-1.2417745818734789,2.2176890827695015,2.4589770034718135,-1.0036306621038946,-0.6457057379176699,0.5129173055185049,0.039716160311937025,-0.1894294011527783,1.8250132279277034,0.8796628759709623,-1.1198430574001217,-0.7564995324761115,0.5672541459795595,-1.122391701816847,-2.103660465388201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,037833100,APPLE INC,199059,0.02552869068112767,1.1103475593056118,0.27734777432095176
AARD,1.3177001434643822,0.0,0.23082094416757928,-1.9221452303717859,0.0,0.0,0.0,0.03894351420450856,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.03320751333590045,2.3867050796749543,2.603932284303413,0.6808962679860068,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,002942100,AARDVARK THERAPEUTICS INC,643629,0.8154488789741072,1.1508325359748899,0.9424701544326489
AAT,2.11814155564964,0.3717305740264526,0.592511167561474,0.7485154760491362,1.8086750267986191,0.40315796379451874,-0.940393552451317,0.8721736611057563,-0.017151293257215237,-0.09870108457186395,-0.031197831800051035,-0.6818035794544275,-0.41007300145537945,0.028776259098192942,1.2521024686544397,1.7102872185828537,-0.0,-0.15695955331171677,0.0,-0.5457338813578148,-0.10272926116660902,-0.6444804193866879,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,024013104,AMERICAN ASSETS TRUST INC,192715,0.02797248953461471,0.7873934448868801,0.2826164599780644
AAUC,-1.4944682999784986,-1.1821420089187522,-0.3152107679497108,-1.566087236320989,0.0,0.0,0.0,-1.0392389261837325,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.049776261238975,0.6220791687339322,-1.66484715745806,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,ALLIED GOLD CORP,644574,0.144721242280946,0.5061741140200078,0.4323941494893643
AB,0.03210482354681093,-0.5724787586015736,0.0,0.6557099444363802,0.0,0.0,0.48139979932214094,0.4996982390086429,0.019019296751199122,0.2939951573812556,2.624707581690548,0.5006501002941885,0.45516102221727434,0.7150002071850865,2.5122713425491723,-0.0,-0.0,-2.360190537665803,0.0,-0.5203267758963438,-0.13753230617060716,-1.122391701816847,1.3014072864779669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01881G106 01855A101 018548107,ALLIANCEBERNSTEIN HOLDING LP,198257,0.038704054910266746,1.0613984017125089,0.3105213145669262
ABAT,-0.39209624048925373,-1.4252129126314173,-0.44871658974796785,-2.313194485606207,-2.712482720307445,-1.9879888536633794,2.7891385521116847,-2.2968670061035716,3.0,-2.712295553278704,-2.4324406869910193,0.0,0.0,-3.0,-1.1254412742172775,1.0647710991951174,-2.9181168036405216,-0.4553600142078285,-0.06001496126809378,2.603932284303413,-0.4704256976187125,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,02451V309 02451V101 687157107,AMERICAN BATTERY TECHNOLOGY CO,633005,1.0292961072542115,0.9602011836421419,1.0531058764878454
ABBV,-1.162376331388353,-0.3716104461830499,-0.6855440072322448,-0.8600591919903289,-0.7334202563173151,-1.0116037853865054,0.35596632491578717,-0.6744946629754531,0.3067644918568915,1.1408007656819248,-0.8783941837026404,-0.6094719640588756,-0.4439381427915629,0.09252130299401459,1.8632057336692458,0.8895895581115333,0.8566366182547702,2.783864866775493,-1.586566950858297,-0.5186262690402604,-1.1270990531000338,-1.122391701816847,-2.103660465388201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00287Y109,ABBVIE INC,191883,0.019397508124996903,0.4329041112983237,0.21890756904580852
ABCB,-0.05143490641709209,-0.13366169250874443,0.0,1.5269301704037672,0.0,0.0,-0.004254825790558273,-0.71053135017696,0.019019296751199122,0.025056563660644706,0.07700830455666309,-1.2718624911747543,0.4761157390713057,0.14858185203663898,-0.9410411488608293,-0.0,-0.0,-0.9474895532136092,0.0,-0.5732833242359383,0.07075888783778209,-0.6227924319714913,1.3014072864779669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03076K108 000400101,AMERIS BANCORP,199032,0.009631858367000373,1.0443762988691045,0.28572019109076474
ABCL,2.511936541244398,-0.25091104424637206,0.5853945992940635,-1.9221452303717859,-1.7820139750903512,-1.0132035770304104,1.047828633998689,0.16915656122921705,1.2464389351340706,-0.9271062743425627,-1.7356629071204455,-1.6195198640899198,-2.0013713030692877,-0.16160666329814394,-0.5312208868152624,1.2909771118919107,0.8683810634123552,-0.48354722036773296,2.3867050796749543,2.603932284303413,0.490355837986408,1.533819427062335,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00288U106,ABCELLERA BIOLOGICS INC,632761,0.28627670386632853,1.155340892715226,0.6023860771835196
ABEO,-0.5265636607022239,0.0,-0.2733721854643857,-1.9221452303717859,-1.7820139750903512,-1.0132035770304104,0.9979129424611332,-1.5065779096189003,0.0,-2.182899084669621,-1.7356629071204455,-1.6195198640899198,-2.0013713030692877,-3.0,-0.5312208868152624,0.7402187617977396,-1.6894653541898608,-0.03462492413412762,1.6551838165125998,2.085692169755978,-1.3878551879790852,0.26082068010777115,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00289Y107 00289Y206 72754H109 00431M209 00431M308,ABEONA THERAPEUTICS INC,124221,0.17837636425666178,0.501343987955534,0.4635771687897368
ABEV,0.6777349772253175,-1.1106723399436365,0.0,2.2581008971313885,0.0,0.0,0.46831775904540873,0.7806535353196723,0.0,0.0,0.0,0.0,0.0,0.09508138148556246,0.0,-0.0,-0.0,0.0,0.0,0.022300063879728514,-1.1285442072942207,-1.122391701816847,-0.5961317693910152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02319V103,Ambev Sa,166723,0.0502621814720143,0.48922338065737475,0.26940178142383664
ABG,1.1604886779016155,0.5908760994617609,-0.3660684229628168,1.5603030057283647,2.1679105265892695,1.327743217112299,-0.556736050720991,0.45709476292313844,0.019019296751199122,-0.18814174400788472,0.12779072599321942,0.8607063325715115,0.38793267772199214,0.5374492755453469,-0.9521349535882092,-2.148044922812379,0.2675877629612294,-0.5423876528544445,-0.17909831103126755,0.1431296596370926,0.016209462130126927,0.09378775412269431,1.3014072864779669,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,043436104,ASBURY AUTOMOTIVE GROUP INC,195771,0.03567673172682135,0.9070209360332012,0.31324887617967073
ABL,1.3355808045652353,2.341116890758104,0.0,-0.7030519530821681,0.0,0.0,-2.314772250586275,-0.6116229380498921,0.019019296751199122,-0.722692453002308,-0.6358271460180424,2.705788515648938,2.236872258836066,1.2384947450061192,-1.6261119319088262,-0.0,2.19100296683693,-2.7857141686468956,-0.8869347755805166,1.8847556294773677,-0.5020302956721825,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274681105 00258Y104,ABACUS LIFE INC,631720,0.13873164171968272,0.9254865077977408,0.43624448456260617
ABLV,-0.14887845536479255,3.0,2.4231130902994535,-1.7299707320477589,0.0,0.0,-2.6395060238220776,-1.4200459657798736,0.0,0.0,0.0,0.0,0.0,-2.9032625610325407,0.0,-0.0,-0.0,0.0,0.37661667071309607,2.603932284303413,1.0238847238017037,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G4233U107,ABLE VIEW GLOBAL INC,638914,0.7889421125075059,1.3879388007122033,0.9451447754570197
ABM,1.210737098279056,3.0,-0.6868504732194202,0.08649610119762688,-1.8341995165824903,-1.4471699647618006,-0.8245586308776865,0.29176965706955316,-0.5126850494921844,-0.7222372458419959,-1.3902943512988877,-0.5815004940196126,-0.2048844276919715,0.238558224692024,0.7775923922955257,0.8072141021230714,-0.2724981818550817,0.19137521030907614,-0.2768052948268223,-0.272806469341704,0.24261142543512956,-0.5793031234255077,1.3014072864779669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000957100,ABM INDUSTRIES INC,198579,0.02680285415343113,1.0608821086516915,0.28807484734348027
ABNB,-0.038989412165339285,-0.751766015420557,-0.3696611313454278,-0.11489178428506236,0.7076997040428091,-0.7708639560206741,-1.8313228907924535,0.7549547546186111,2.7111826350907253,0.07904622654135529,0.44178783379582665,1.0121137493548817,0.3994705898114513,0.5725759635061882,-0.7439769895994212,1.5232370441276781,1.0291558756198114,-1.319504153592353,-0.493456817225623,0.18827233288900572,0.9094931613466819,-0.6780757381626881,-1.3707656733692977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009066101,AIRBNB INC,632745,0.030718721982656176,1.248967348089473,0.3145111760048696
ABOS,3.0,0.0,2.73074634820403,-1.9221452303717859,-1.7820139750903512,-1.0132035770304104,-2.1954644188533865,-1.6764076432432946,0.0,-2.182899084669621,-1.7356629071204455,0.0,0.0,-0.04484553710897149,-0.5312208868152624,1.5938329671265643,2.4986747771924205,-0.4781514339882796,2.3867050796749543,2.603932284303413,-0.15857781017698694,-0.28388528776260236,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00509G209,ACUMEN PHARMACEUTICALS INC,635602,0.3345572082602019,0.8825414397343548,0.6341201328755133
ABP,-1.131155391309245,-0.25091104424637206,0.11187012772245125,-1.9221452303717859,-1.7820139750903512,-1.0132035770304104,0.0,-1.9735677416811035,1.2464389351340706,2.6232587618350203,-1.7356629071204455,0.0,0.0,-0.0,-0.5312208868152624,2.1965085653811913,2.4986747771924205,-1.0840055775089112,-1.7462677815497711,2.603932284303413,2.090033025071546,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,04845A108,ABPRO HOLDINGS INC,637252,1.71970516423913,1.573563054714114,1.358977109147287
ABR,2.11814155564964,0.056285340532256145,0.9745763805157834,-0.41186468560343664,0.6074100558075112,-0.584795235975679,-0.9000506077923657,-0.7888777529895229,-0.017151293257215237,-0.0461117775381541,-0.16881008076931234,-0.045659700521242554,-1.6902795260874868,-0.24756730516978492,1.2521024686544397,1.9148126152080296,-0.0,0.5631185607605854,0.0,-0.003549916606592641,0.06718910629810973,0.3328474404555083,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923108,ARBOR REALTY TRUST INC,195368,0.04908763585447333,0.8297674953031667,0.3159088862351369
ABR-PD,0.0,0.0,0.0,0.0,0.0,0.0,0.5040329222526256,0.1374691620697798,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1238103004399331,-1.1560785701735372,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923876,ARBOR REALTY TRUST INC,635368,0.030497168348612717,0.4403717117322253,0.23916913155937916
ABR-PE,0.0,0.0,0.0,0.0,0.0,0.0,0.4725157071700387,-0.16138410433239525,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1238103004399331,-1.5061678550895414,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923868,ARBOR REALTY TRUST INC,636009,0.03407086300899987,0.33142074326818177,0.24623853682662586
ABR-PF,0.0,0.0,0.0,0.0,0.0,0.0,0.8746926806828805,-0.8708011333585362,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1238103004399331,-1.2453453943989876,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923850,ARBOR REALTY TRUST INC,640212,0.037046031841176094,0.3841472177631639,0.24987834901958966
ABSI,1.1919910489612224,-0.25091104424637206,0.9418792738582308,-1.9221452303717859,-1.7820139750903512,-1.0132035770304104,-2.1954644188533865,-0.34692917125010636,1.2464389351340706,-2.182899084669621,-1.7356629071204455,-1.6195198640899198,-1.9564286894596805,-2.115940242299702,-0.5312208868152624,2.1965085653811913,2.4986747771924205,-0.5311849390361436,2.295092894804754,2.603932284303413,2.090033025071546,2.7191318111229865,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00091E109,ABSCI CORP,635816,0.3373667135345594,1.5584375728714892,0.6915532372203114
ABT,-0.37884751268179956,-0.21965830995358912,-0.4003737018119265,-0.1717161703830783,0.2790884468322137,-0.059056863615316084,1.097983097204881,-0.9036585693907324,-0.848932303878441,0.9900751040757441,1.9737392624071728,-0.5635553145470554,-0.40409002204588007,0.09369567256039152,0.7625722869299182,0.6413728626354374,0.08255489939590442,-0.11638444353726321,-0.7562153960140134,-0.8758493084889954,-1.66484715745806,-1.014606142266351,-2.103660465388201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,002824100,ABBOTT LABORATORIES,199997,0.014836142545945986,0.37864122064822536,0.18983281230301438
ABTS,2.7996669260799836,0.2588282034496561,0.1094557810953117,-1.7299707320477589,0.0,0.0,-2.8494709496101103,0.24583402086011671,0.0,0.0,0.0,0.0,0.0,1.2384947450061192,0.0,-0.0,-0.0,0.0,0.0,2.603932284303413,2.090033025071546,0.17795156691267194,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,G6S34K105 624697306 624697207,ABITS GROUP INC,123710,1.0286151904094112,1.6555755798506373,1.0793505269656334
