"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Activity Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading BIC Broker Code","Trading Broker Name","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Name","IAS Consolidated Account Number","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550157027","GLNELE1IM002001D","MDJ2509120407067","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550113742","","","","","","09/12/25","09/12/25","09/12/25","","","","500.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","SPDR BLOOMBERG BARCLAYS CONVERTIBLE","SPDR BLOOMBERG BARCLAYS CONVERTIBLE","SECURITIES ETF","","","","0.000000","78464A359","CWB US","US78464A3591","B3Z44V6","004573758","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 07.17.04","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
"212156","NYLI MERGER ARBITRAGE ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252540563604","EPC10029851TXL2D","MDJ2509111072807","","","SD","SECURITY DEPOSIT","RF","110","Security Addition","","","","","","","09/11/25","09/12/25","","","","","50000.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","8497000","","JANE STREET CAPITAL LLC","8497000","JANE STREET CAPITAL LLC","","NYLI MERGER ARBITRAGE ETF","NYLI MERGER ARBITRAGE ETF","","","","","0.000000","45409B800","MNA US","US45409B8000","B65XBQ8","010748212","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","212156","000000212156","0","0","0","09/11/25","09/11/2025 16.46.47","N","Actual","5829290091","","","","","Not Applicable","USD","USD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/25","P25091005171-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141992","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.2245220000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 4,990.2300         WTH: 0.0000","FX CONFIRM:P250910-05171 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/25","09/12/25","","","09/12/25","09/12/25","3294.070000","0.6601037","","","","","","6644.470000","-4990.23","1163.970000","4417.580000","-3317.750000","773.870000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.664850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/10/25","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/25","P25091005176-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141991","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.0646960000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 1,437.9300         WTH: 0.0000","FX CONFIRM:P250910-05176 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/25","09/12/25","","","09/12/25","09/12/25","949.180000","0.6601037","","","","","","6644.470000","-1437.93","1163.970000","4417.580000","-956.010000","773.870000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.664850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/10/25","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/25","P25091005172-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141993","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.0107820000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 239.6400           WTH: 23.9600","FX CONFIRM:P250910-05172 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/25","09/12/25","","","09/12/25","09/12/25","142.370000","0.6601037","","","","","","6644.470000","-215.68","1163.970000","4417.580000","-143.390000","773.870000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.664850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/10/25","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/15/25","P25091126666-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508271249268","SEDOL #: 6198578  ISIN #: AU000000REA9  EVENT ID: 1568408591","DESC : REA GROUP LTD NPV      DIV SRC RATE:     1.3800000000","EX DT: 25AUG28  RECORD DT: 25AUG29  PAY DT: 25SEP12","CCY: AUD  GRSS: 1,163.3400         WTH: 0.0000","FX CONFIRM:P250911-26666 FXRT:0.6655004600  FXVD: 15SEP25 M","09/11/25","09/15/25","","","","","774.200000","0.6655004","","","","","","1163.970000","-1163.34","4407.510000","773.870000","-773.450000","2930.330000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.664850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/12/25","09/11/2025 14.55.12","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394733440","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","HKD","HONG KONG DOLLAR","11","BRU","09/12/25","P25091017664-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508251538640","SEDOL #: BF0GWS4  ISIN #: KYG9593A1040  EVENT ID: 1568495570","DESC : WHARF REAL ESTATE INVE DIV SRC RATE:     0.6600000000","EX DT: 25AUG26  RECORD DT: 25AUG27  PAY DT: 25SEP11","CCY: HKD  GRSS: 18,037.1400        WTH: 0.0000","FX CONFIRM:P250910-17664 FXRT:7.7949741800  FXVD: 12SEP25 D","09/10/25","09/12/25","","","09/12/25","09/12/25","2313.940000","7.7949741","","","","","","18037.140000","-18037.14","0.000000","2315.590000","-2315.590000","0.000000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.128379","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/10/25","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394733920","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","JPY","JAPANESE YEN","11","BRU","09/16/25","P25091117500-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2506261265153","SEDOL #: 6986461  ISIN #: JP3955800002  EVENT ID: 1564460302","DESC : YOKOHAMA RUBBER CO LTD DIV SRC RATE:    48.0000000000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP12","CCY: JPY  GRSS: 108,288.0000       WTH: 10,829.0000","FX CONFIRM:P250911-17500 FXRT:147.183257000 FXVD: 16SEP25 D","09/11/25","09/16/25","","","","","662.160000","147.183257","","","","","","612250.000000","-97459.00","-3298.000000","4159.450000","-662.110000","-22.410000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.006794","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/11/25","09/11/2025 10.25.12","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394733920","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","JPY","JAPANESE YEN","11","BRU","09/16/25","P25091117399-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2506261247356","SEDOL #: 6396800  ISIN #: JP3027670003  EVENT ID: 1564460106","DESC : NIPPON BUI REIT        DIV SRC RATE:  2495.0000000000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP12","CCY: JPY  GRSS: 351,795.0000       WTH: 35,180.0000","FX CONFIRM:P250911-17399 FXRT:147.188260000 FXVD: 16SEP25 D","09/11/25","09/16/25","","","","","2151.090000","147.18826","","","","","","612250.000000","-316615.00","-3298.000000","4159.450000","-2150.990000","-22.410000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.006794","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/11/25","09/11/2025 10.25.12","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394733920","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","JPY","JAPANESE YEN","11","BRU","09/16/25","P25091117423-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2506261270022","SEDOL #: 6302700  ISIN #: JP3166000004  PSS #: 2506261270022","DESC : EBARA CORP NPV         DIV SRC RATE:    28.0000000000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP12","CCY: JPY  GRSS: 223,860.0000       WTH: 22,386.0000","FX CONFIRM:P250911-17423 FXRT:147.178254000 FXVD: 16SEP25 D","09/11/25","09/16/25","","","","","1368.910000","147.178254","","","","","","612250.000000","-201474.00","-3298.000000","4159.450000","-1368.760000","-22.410000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","0.006794","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/11/25","09/11/2025 10.25.12","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394738260","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","GBP","POUND STERLING","10","BRU","09/12/25","P25091017639-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508150010272","SEDOL #: B2B0DG9  ISIN #: GB00B2B0DG97  EVENT ID: 1567882485","DESC : RELX PLC               DIV SRC RATE:     0.1950000000","EX DT: 25AUG07  RECORD DT: 25AUG08  PAY DT: 25SEP11","CCY: GBP  GRSS: 6,289.9200         WTH: 0.0000","FX CONFIRM:P250910-17639 FXRT:1.3546867000  FXVD: 12SEP25 M","09/10/25","09/12/25","","","09/12/25","09/12/25","8520.870000","1.3546867","","","","","","6289.570000","-6289.92","29986.460000","8527.710000","-8528.190000","40657.140000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","1.355850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/10/25","09/11/2025 20.13.18","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394738260","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","GBP","POUND STERLING","10","BRU","09/15/25","P25091117487-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508140007892","SEDOL #: B10RZP7  ISIN #: GB00B10RZP78  EVENT ID: 1566041719","DESC : UNILEVER PLC 0.031111P DIV SRC RATE:     0.3916000000","EX DT: 25AUG14  RECORD DT: 25AUG15  PAY DT: 25SEP12","CCY: GBP  GRSS: 17,086.2900        WTH: 0.0000","FX CONFIRM:P250911-17487 FXRT:1.3553862800  FXVD: 15SEP25 M","09/11/25","09/15/25","","","","","23158.520000","1.3553862","","","","","","29986.460000","-17086.29","1407.020000","40657.140000","-23166.450000","1907.710000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","1.355850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/11/25","09/11/2025 10.25.13","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394738260","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","GBP","POUND STERLING","10","BRU","09/15/25","P25091117435-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508060032149","SEDOL #: BM8PJY7  ISIN #: GB00BM8PJY71  EVENT ID: 1567894747","DESC : NATWEST GROUP PLC GBP  DIV SRC RATE:     0.0950000000","EX DT: 25AUG07  RECORD DT: 25AUG08  PAY DT: 25SEP12","CCY: GBP  GRSS: 12,900.5200        WTH: 0.0000","FX CONFIRM:P250911-17435 FXRT:1.3553862800  FXVD: 15SEP25 M","09/11/25","09/15/25","","","","","17485.190000","1.3553862","","","","","","29986.460000","-12900.52","1407.020000","40657.140000","-17491.170000","1907.710000","300000155","","PSS FOR FX 2","300000155","PSS FOR FX 2","","","","","","","","1.355850","","","","","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","139473","000000139473","0","0","0","09/11/25","09/11/2025 10.25.12","","","5829291047","","","","","","","",""
