Agreement:,INDEXIQ ADVI..QMN:US CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


 Agreement Level Amounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,No Positions to Report ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterparty:,NEW YORK LIFE INVESTMENT MANAGEMENT LLC O/B/O MAINSTAY VP FUNDS TRUST - MAINSTAY VP IQ HEDGE MULTI-STRATEGY PORTFOLIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary GCI:,349571988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPER:,410167995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master ID:,1087661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD:,1087661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal:,Merrill Lynch International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Center Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date: ,08-Aug-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



Contract ID ,Back Office Number,ProductID,Trade Date ,Effective Date,Maturity Date,Commodity Code,Strike,Contract Rate,Buy/Sell,Ccy1,Notional 1,Ccy2,Notional 2,Initial Margin CCY,Prin Initial Margin Amount,Cpty Initial Margin Amount,Independent Amount CCY,Prin Independent Amount,Cpty Independent Amount,Market Value Ccy,Market Value Amount,Collateral Agreement  Ccy,Market Value Amount in CA Ccy,Market Value Date,Put/Call,Unit,Major Deal,Commodity Type,Price Source,Booking Unit,Link Trade Count,Credit Approval,Underlying Description,Underlying ISIN,Underlying Sedol,Underlying Ric,Contracts

Agreement:,INDEXIQ ADVISO..PORT CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Equity - Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483325148,7709185480,Swap,30-Aug-2024,30-Aug-2024,27-Feb-2026,IIQ26U.X001,,0.0000,Buy,USD,"23,716,934.30",USD,"380,122.62",USD,0.00,0.00,USD,0.00,0.00,USD,"102,538.71",USD,"102,538.71",07-Aug-2025,,,,,,BT3,1,9999xxx99,  INDEXIQ_MA SWP BSK,,,,
,,,,,,,,,,,,,,Sub-Total for Product: USD,0.00,0.00,,0.00,0.00,,"102,538.71",,"102,538.71",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Total for Agreement INDEXIQ ADVISO..PORT CSA in USD:,0.00,0.00,,0.00,0.00,,"102,538.71",,"102,538.71",,,,,,,,,,,,,,
"Aug 8, 2025",02:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
