,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Agricultural, Timber, Packaging & Building Materials",Automobiles & Auto Components,Banks,Capital Goods,Capital Markets,Chemicals,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy Equipment & Services,Food & Staple Retailing,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Healthcare Equipment & Services,Household & Personal Products,Insurance,Internet Retail & Consumer Electronics,Media,Metals & Mining,Oil & Gas E&P,"Oil, Gas & Consumable Fuels","Pharmaceuticals, Biotechnology & Life Sciences",REIT,Real Estate Services,Retailing,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecom Services,Transportation,Utilities,cusip,issuer,permno,residual,PredictedBeta,PredictedVolatility
AAOI,-0.30444396411321845,-0.7005479226831767,-0.9548413085034159,-1.5983555014109112,-2.19945871950539,-1.3602516718357271,1.3226658424771098,2.8196254387129054,1.1059407156724337,-2.55330832647354,-1.9321180112833864,-1.0584815692558014,2.0130037654555597,-3.0,-0.31785333923727943,-2.883724462982694,-1.9763984466221165,-0.5000332680278472,-0.2925787538085625,2.6358669999541102,2.0024858800650955,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,03823U102,APPLIED OPTOELECTRONICS INC,195742,0.6741948186201819,1.7736283007213551,0.9153658551249557
AAON,-0.2729925066469339,-0.7032303034229166,-0.4753088475598412,-0.8473632269361552,-1.9627978336995993,-1.3635388477176238,-0.25026636279062753,-0.1078500023566459,-0.05197198963086441,-0.13846244146244246,0.04828751893848645,1.7455316595977861,0.6234828826637463,0.2568237849131498,-0.7997665396545358,-2.390392316393786,-2.028084606813484,-0.2844865320682443,0.4346557953648082,1.197019913641455,0.9546643933597669,0.8169950533746845,1.0039353187417082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000360206,AAON INC,198259,0.0645200148978729,1.2651510546546123,0.37845857680313305
AAP,2.3427600651381235,2.9674418854856905,2.991476627141309,-2.573518736995159,-2.791076390934245,-1.7918130902916627,-1.1443473387430565,-1.4770562164060674,0.02075221674762622,-1.1705902341034948,-2.4004204143700036,-0.73071698594965,-1.5205686049415081,-0.02511352205544332,0.5865900263008775,1.1724758188075401,-0.03661886948052504,1.049454947048352,-0.1876044440247841,2.2918983341636685,0.09272954032454851,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00751Y106,ADVANCE AUTO PARTS INC,195735,0.15809487079037357,1.0378611057757747,0.47895835399793124
AAPG,-1.0034171536406307,-0.23040918570310975,2.838768549368265,-1.5108294136965632,0.0,0.0,0.0,0.0820647966349194,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.2028859573354702,2.6358669999541102,-1.629431839634212,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,ASCENTAGE PHARMA GROUP INTERNATIONAL,643215,0.379159637698684,0.5169358152512428,0.6523518800416709
AAPL,-0.813382588310476,-0.5318957683771751,-0.7881243582429311,0.4014194767453402,-0.18403726285183994,-0.5643585602470367,-0.5819778893348292,-0.1782051669727139,-1.2572046369763024,2.1263343793154195,2.446619799546934,-1.0042586216675786,-0.6051461415480346,0.5455585409930032,0.04242990615654775,-0.1922820539378371,1.7719670387353692,0.9012429650499219,-1.1439983869688188,-0.7960411904625581,0.469924273906837,-1.127796449484571,-2.1068381263503606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,037833100,APPLE INC,199059,0.02535891223899968,1.080377200255321,0.2745517885707041
AARD,1.267888339774902,0.0,0.11117844126028685,-1.8818915565589973,0.0,0.0,0.0,1.5983930378270905,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.05905940181975752,2.331665481498243,2.6358669999541102,0.5257942174757044,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,002942100,AARDVARK THERAPEUTICS INC,643629,0.8777601634353233,1.1737886165458449,0.978141469609538
AAT,2.2233976396994315,0.3664471785692928,0.5658062823502201,0.8477952345743738,1.7667128737330775,0.3896187319153951,-1.0662486242684424,0.020858678870932977,-0.01537574955655939,-0.10904683528314738,-0.043160855517102366,-0.7261448774706214,-0.3824734306720858,-0.005093800665762337,1.2501285515388796,1.7665438832012323,-0.0,-0.15807808468180642,0.0,-0.5929371894159459,-0.15823565658388242,-0.3677051017259086,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,024013104,AMERICAN ASSETS TRUST INC,192715,0.02792155166093536,0.7303168484590528,0.2755863987210702
AAUC,-1.4142285801630199,-1.1584862634930755,-0.3241243217608753,-1.6447068295608769,0.0,0.0,0.0,1.184757044108443,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.0469857197337598,0.691774111521783,-0.029600348971261542,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,ALLIED GOLD CORP,644574,0.13875304527532234,1.0496435756448976,0.45818436008151553
AB,-0.09715021174277039,-0.5860174405998503,0.0,0.5359602612488484,0.0,0.0,0.63085869896573,0.37966525288854347,0.02075221674762622,0.384436017891848,2.880560195814533,0.6856946273525772,2.1592506334504242,0.806785620885319,2.4470745310579542,-0.0,-0.0,-2.3908290604186964,0.0,-0.5092395967410238,-0.0932488289250512,-1.127796449484571,1.2921533784957033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01881G106 01855A101 018548107,ALLIANCEBERNSTEIN HOLDING LP,198257,0.037074714388405206,1.033890641231131,0.3027036799557699
ABAT,-0.4324350313087295,-1.4299352941251584,-0.3033294544615932,-2.517439909636884,-2.801622679753185,-2.018762727766799,2.727547908181022,-1.8227352408118662,3.0,-2.928900932320038,-2.5265936163111524,0.0,0.0,-3.0,-1.1316522666831903,1.048850852035952,-2.8600815189497557,-0.46066710392195886,-0.029601350740419526,2.6358669999541102,-0.5668957498877609,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,02451V309 02451V101 687157107,AMERICAN BATTERY TECHNOLOGY CO,633005,1.0459583486053874,0.9571062253459898,1.0606774577130276
ABBV,-1.155671123235598,-0.3566800074524743,-0.7207594949941245,-0.6507423229947479,-0.7970155879797077,-0.9823434272017476,0.5344982482617219,0.04990598488166121,0.29362283425754326,1.0517276487997127,-0.9007632507302663,-0.6120106448036585,-0.43270896461578995,0.06267287844681177,1.957890919438251,0.8834501686792378,0.9927858580524773,2.7998028239874495,-1.6080556318981583,-0.5047928891339365,-1.1330281208362314,-1.127796449484571,-2.1068381263503606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00287Y109,ABBVIE INC,191883,0.01913418893270683,0.46338330471636335,0.22084690316725783
ABCB,-0.16928659438619495,-0.1136221151303479,0.0,1.4659061254596404,0.0,0.0,0.09303432302520263,-0.7091522856685372,0.02075221674762622,0.02126989509189158,0.07630119975205601,-1.2594554023879119,0.4609907687104753,0.1205312152335324,-0.9195781163915683,-0.0,-0.0,-0.9696323983765853,0.0,-0.558327361960456,0.1677258710855139,-0.7200376987798487,1.2921533784957033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03076K108 000400101,AMERIS BANCORP,199032,0.009911696278181432,1.06458849044851,0.2921857276261725
ABCL,2.0953438785588077,-0.23040918570310975,0.9919539715430467,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,-0.08510435837157496,-1.7020007754663924,1.1960886555553834,-0.7078279009274995,-1.5668848026439461,-1.6529864477221972,-2.027154711695076,-0.209074387443825,-0.5000784184446947,1.2241345857639274,0.6554977358186425,-0.5177884671722974,2.331665481498243,2.6358669999541102,0.5748736593474847,2.1982750354099916,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00288U106,ABCELLERA BIOLOGICS INC,632761,0.2863720549706308,1.1123999739732586,0.6019641341683983
ABEO,-0.518618076491073,0.0,-0.22655068385641397,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,0.7186561276986023,-1.7020007754663924,0.0,-2.1924634189017125,-1.5668848026439461,-1.6529864477221972,-2.027154711695076,-3.0,-0.5000784184446947,0.6656366975148788,-1.8935683338986855,-0.06050321750053956,1.7241685710408194,2.1861110434257665,-1.4350224558369338,0.7126386958769365,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00289Y107 00289Y206 72754H109 00431M209 00431M308,ABEONA THERAPEUTICS INC,124221,0.1759120791828788,0.4905632308476618,0.4614493495237851
ABEV,0.5942854642543812,-1.1532377831937346,0.0,2.177262658673532,0.0,0.0,0.6068877605677231,0.7132205165848128,0.0,0.0,0.0,0.0,0.0,0.06379740583265406,0.0,-0.0,-0.0,0.0,0.0,-0.005431886529869897,-1.349366147867719,-1.127796449484571,-0.6089803808496044,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02319V103,Ambev Sa,166723,0.050058667724360344,0.418738391473013,0.2662712985425895
ABG,1.222015850637417,0.6190884486851037,-0.23779863555971253,1.036653545884606,1.2666737074944192,0.8129744238000769,-0.9660040850735174,0.3560752983002524,0.02075221674762622,-0.2719698376016177,-0.03148033819590132,0.37931708767393324,0.6274355987349894,0.5357530682881365,-0.9633269061603882,-2.1439649535394767,-0.47423301761779124,-0.5386951122107109,-0.20633566477968687,0.1817690033327105,-0.0073879281570247615,-0.0009223382354174711,1.2921533784957033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,043436104,ASBURY AUTOMOTIVE GROUP INC,195771,0.037559260729331335,0.8742125703899469,0.3120686497077788
ABL,1.4675816497829808,2.4214875923637993,0.0,-0.7222017903304585,0.0,0.0,-2.4112113582743957,-0.8082036337841538,0.02075221674762622,-0.7086133855877212,-0.648621595265137,2.676187269938973,2.1592506334504242,1.385203129885758,-1.649151029795258,-0.0,2.032024736350785,-2.821346669074516,-0.8670769165061025,1.9880516599275198,-0.5197096244815401,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274681105 00258Y104,ABACUS LIFE INC,631720,0.1414321613175787,0.9050577629610812,0.4397469783851157
ABLV,-0.042429653946504275,3.0,2.4247077688484615,-1.7455417248633343,0.0,0.0,-2.0049797752068637,0.419051087307118,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-0.0,-0.0,0.0,0.39158770073804033,2.6358669999541102,0.6091174704315665,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G4233U107,ABLE VIEW GLOBAL INC,638914,0.7401607893135858,1.3265604120094714,0.9161688713036001
ABM,1.2585556993220748,3.0,-0.6900506417673106,0.0975129131973243,-1.8127308426423616,-1.4576420249968933,-0.9783913389293241,0.3135238069516206,-0.518040013464042,-0.7103961916418935,-1.4145474360025814,-0.5542340910756329,-0.17375159000463253,0.2163515727299752,0.7138961897344724,0.8193534246438171,-0.48372453638948376,0.19243374492522186,-0.26379085303695826,-0.2537117720094283,0.2225131498667242,-0.2998505649660752,1.2921533784957033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000957100,ABM INDUSTRIES INC,198579,0.027101060241413677,1.0438276620700397,0.2887553576079597
ABNB,-0.04841321900460295,-0.7947751489921793,-0.3822968773102855,-0.17929591952311016,0.671901273399512,-0.8692595046404725,-1.6528069748303316,0.3911843181961144,2.748803434320485,0.1416835189675458,0.3772633111788358,1.0568154032543617,0.4271316452080244,0.5713514209365318,-0.7848874920139598,1.787612391263105,0.8313030093497438,-1.3651820312891418,-0.4864888635710487,0.23493797268791802,0.9387022109658427,-0.8147200262863659,-1.4003985280655717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009066101,AIRBNB INC,632745,0.03234999638615353,1.228423247015935,0.3143107469973501
ABOS,3.0,0.0,3.0,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,-2.10022443090888,-1.7020007754663924,0.0,-2.1924634189017125,-1.5668848026439461,0.0,0.0,-0.08270135457224197,-0.5000784184446947,1.5312463264456482,2.3529596285013015,-0.5122921629289907,2.331665481498243,2.6358669999541102,0.07849933922346065,-0.18605027565869175,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00509G209,ACUMEN PHARMACEUTICALS INC,635602,0.3353880947292248,0.940543698179453,0.6378564786333313
ABP,-1.1191955175653352,-0.23040918570310975,0.2934898399487811,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,0.0,-1.7020007754663924,1.1960886555553834,2.7211404352360917,-1.5668848026439461,0.0,0.0,-0.0,-0.5000784184446947,2.1423910305920115,2.3529596285013015,-1.129432736272966,-1.7722135241753545,2.6358669999541102,2.0024858800650955,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,04845A108,ABPRO HOLDINGS INC,637252,1.693618675317174,1.5480523616224109,1.34871840579363
ABR,2.2233976396994315,0.09343453802392003,1.0645031281313735,-0.2555303670316509,0.6074777066669174,-0.5938337836252946,-0.8865892832926501,-1.085130084869066,-0.01537574955655939,-0.057797882853944514,-0.18285327473528248,-0.08304114095639499,-1.7012851002814755,-0.2865461173094736,1.2501285515388796,1.9739433753540596,-0.0,0.5754143324677611,0.0,-0.03617201681005648,-0.18811978410504065,0.4425506841435312,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923108,ARBOR REALTY TRUST INC,195368,0.04833281531336176,0.736082209288066,0.3080850568534515
ABR-PD,0.0,0.0,0.0,0.0,0.0,0.0,0.06301405890771554,-0.5161980713121216,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1309488930203964,-1.1117931108128214,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923876,ARBOR REALTY TRUST INC,635368,0.03062996308997277,0.4177554786168547,0.23967427502243022
ABR-PE,0.0,0.0,0.0,0.0,0.0,0.0,0.1568043722137098,-0.27487008443965844,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1309488930203964,-1.4056760957641634,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923868,ARBOR REALTY TRUST INC,636009,0.03549671654451684,0.3455574365895498,0.25004009011726824
ABR-PF,0.0,0.0,0.0,0.0,0.0,0.0,0.5591643715352859,-0.5228409430161299,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1309488930203964,-1.249350847840304,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,038923850,ARBOR REALTY TRUST INC,640212,0.03601805053772965,0.3843509382735958,0.249272406133776
ABSI,1.267888339774902,-0.23040918570310975,1.1140642228999467,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,-2.10022443090888,-0.9686891889625323,1.1960886555553834,-2.1924634189017125,-1.5668848026439461,-1.6529864477221972,-1.9365108469346561,-2.2849185619033445,-0.5000784184446947,2.1423910305920115,2.3529596285013015,-0.5663136267775165,2.331665481498243,2.6358669999541102,2.0024858800650955,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00091E109,ABSCI CORP,635816,0.35430147682323165,1.5058511795981089,0.6993013321852241
ABT,-0.25278451780050337,-0.1342441876884156,-0.391714849721356,-0.03482666764376876,0.2283010505013378,-0.09109541517677172,1.1139351544475582,0.43254577772767866,-0.8556011764617487,0.9983452407413759,2.029449417293399,-0.6628172169618591,-0.47607301335209423,0.06610296965223694,0.6897068178421494,0.5560469138473042,-0.008428444386898888,-0.11369628083668917,-0.7869016317741332,-0.8342752359974084,-1.629431839634212,-0.97622054432007,-2.1068381263503606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,002824100,ABBOTT LABORATORIES,199997,0.013849764714623613,0.435243360646576,0.19136741224290918
ABTS,2.9113706157218937,0.29374056333691806,0.1468663969729721,-1.7455417248633343,0.0,0.0,-2.966500497828011,-0.5802444509507387,0.0,0.0,0.0,0.0,0.0,1.385203129885758,0.0,-0.0,-0.0,0.0,0.0,2.6358669999541102,2.0024858800650955,1.2644760675512476,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,G6S34K105 624697306 624697207,ABITS GROUP INC,123710,1.0228442151639994,1.5898084228180505,1.0735461094684222
ABUS,-0.4987292355287369,-0.23040918570310975,-0.1612114781323863,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,-0.9313438400302793,-0.48781478766962394,1.1960886555553834,-2.1924634189017125,-1.5668848026439461,-0.03968493677729097,-2.027154711695076,-0.20416024537115138,-0.5000784184446947,2.1423910305920115,2.3529596285013015,-0.47435383955070304,2.331665481498243,1.1396818099252095,-0.8619539848104206,-1.0928657223548255,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,03879J100 87911B209,ARBUTUS BIOPHARMA CORP,190908,0.0857226930952992,0.6426070697201409,0.3649332741594444
ABVC,-0.575647011150101,-0.23040918570310975,-0.5768026979987364,-1.8818915565589973,-1.7066419989594008,-0.9576207840294393,2.330738426195545,-1.7020007754663924,0.6698128297337596,-2.1924634189017125,-1.5668848026439461,2.5236585089293193,2.133011341395988,-3.0,-0.5000784184446947,2.1423910305920115,0.9798741543247156,0.31840135813813975,-1.7722135241753545,2.6358669999541102,2.0024858800650955,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00091F106 00091F304 278880208 278880109 024733206,ABVC BIOPHARMA INC,107653,1.347879619836088,1.4809548340579632,1.2118008604034811
ABVE,-2.2050379243767986,2.785922362521553,-0.5142222919362222,-2.312131168550982,0.0,0.0,-2.0710109958832397,-1.9913816057739315,0.0,0.0,0.0,0.0,0.0,-0.41406858775284777,0.0,-0.0,-0.0,0.0,-0.7964265013133162,2.6358669999541102,2.0024858800650955,2.7016991476555874,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09175K105,ABOVE FOOD INGREDIENTS INC,633889,3.5183942628597333,1.380289953425609,1.9028536098961708
ABVEW,0.0,0.0,0.0,0.0,0.0,0.0,2.128940457749379,-1.832578496512582,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.6358669999541102,-1.629431839634212,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09175K113,BITE ACQUISITION CORP,634700,5.81293622274417,0.6762381522860542,2.4183714188274408
