,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Commercial & Professional Services,Healthcare Equipment & Services,Consumer Durables & Apparel,Consumer Services,Banks,Media,Internet Retail & Consumer Electronics,Semiconductors & Semiconductor Equipment,Food & Staple Retailing,"Oil, Gas & Consumable Fuels",Retailing,Transportation,"Agricultural, Timber, Packaging & Building Materials",Utilities,Diversified Financials,"Pharmaceuticals, Biotechnology & Life Sciences",Oil & Gas E&P,Insurance,REIT,Technology Hardware & Equipment,Chemicals,Real Estate Services,Capital Goods,Metals & Mining,Telecom Services,Automobiles & Auto Components,Household & Personal Products,Software & Services,Capital Markets,Energy Equipment & Services
ROA,4.2265218825486454e-05,1.0376853191085703e-05,2.597342500419723e-05,-0.0001248531120934069,-1.0023555498196511e-05,-5.741639452699745e-05,6.280868209319223e-05,-8.125993337439436e-05,7.054899040111904e-05,-5.5965731491768095e-05,0.00023151579238265326,-2.881146610607522e-07,5.514804102079692e-05,-2.370753802112506e-05,-5.524368917469742e-05,1.0208891642184126e-05,-4.101588633123744e-06,5.8030939822492065e-05,-2.363233905053457e-05,-0.00013130972907119377,-0.00042608132402387915,-2.0652754141365375e-05,-2.805181726085615e-05,-0.0008795099132273624,-0.0005939199453751934,-0.0010163987687594465,-0.0013491560383065134,-0.0012755294050968205,-0.0010965223047874689,-0.0017420061734141597,-0.0010143602147643389,-0.0009971062717242453,-0.0007904307092853856,-0.0007955698000595064,-0.0014785687989924644,-0.001054212685943003,-0.001461967361375415,-0.0012505345300077297,-0.0010164349846054173,-0.0013463710361318133,-0.0010797740725150633,-0.0019023877741578892,-0.000979666486717769,-0.0011431103328840436,-0.0007924916237989956,-0.0014389343775591597,-0.001457649046388605,-0.0012716059474011407,-0.001528136829430948,-0.00044098971450181815,-0.001140486613928971,-0.0010082371067536215,-0.0008514930768620287,-0.0016338654540578746,-0.0019821423993261447
LongTermGrowth,-3.6378567291202765e-05,1.1856205099901141e-05,4.044578709712043e-05,-5.2939802896581735e-05,9.259694215267864e-06,-1.722509400108789e-05,3.5728357650013976e-05,3.471004240530979e-05,2.185096194249292e-05,6.6094935871160085e-06,-2.881146610607522e-07,0.0001408551944025172,-2.6645119159313608e-05,3.85297935017143e-06,-1.2675271584887022e-05,5.207366309782903e-06,1.0729437289180248e-06,-1.4183175281094163e-05,-2.340968875292037e-05,1.3685158728964477e-05,0.0001339146827003357,-2.561019533337348e-05,-1.4592967505194867e-05,9.15677844889558e-05,0.00012034078397036991,0.0003009789970327619,0.00028804358188566447,0.00023223522511694406,0.0003185130694866411,0.0001331500744579494,0.00043627067306251804,0.0005448899694975882,0.000300317192891183,9.497660675622466e-05,0.0001798031047047389,0.00014256037972466782,0.00027320961126780694,7.747389891112645e-05,2.454331719359728e-05,0.00021778069455844382,9.669020730633617e-05,0.00016290303737259088,0.00012721173648933893,0.00017198854830212482,0.00040624809020971194,0.0001922810097098709,0.0001450740627670317,0.0001814193557538135,-8.616632311043808e-05,0.0003349406411156568,-1.923941163770347e-05,0.00015835082813267165,0.0005572522665076737,0.00022940864446491062,-1.1078448258505857e-05
ShortTermGrowth,9.064795687025077e-06,-2.6683664994011983e-06,-3.3382439365498614e-05,-0.00011345575043760445,-2.914263667844945e-06,-4.6409229228331875e-05,0.00024996003254570064,-9.577150032114182e-05,4.620727553578661e-05,-2.8606045878993703e-06,5.514804102079692e-05,-2.6645119159313608e-05,0.0002317261760099343,-2.681993168516782e-05,-0.00010054122358950074,1.583103065811655e-05,-3.751701522168571e-05,1.9295882431638557e-05,-5.7248992184040385e-06,-8.19437948118717e-05,-0.00017992937963184783,2.9725182006932574e-05,-9.420556550549608e-05,-0.0008452847555361857,-0.00040604621164214643,-0.0009233798974812211,-0.0011892195307167226,-0.0015045934451788192,-0.0009461405916242747,-0.0013082373717554535,-0.000826184745415078,-0.0009706213624560097,-0.0011345201210033948,-0.0007994936218848596,-0.0008300778550661077,-0.0011810102735647524,-0.0015068144174816879,-0.0014037082235533692,-0.0005099612669478946,-0.0011071492407929955,-0.0010818078304375167,-0.0013104728410985357,-0.0005611182843775986,-0.0010051010617541504,-0.0005821031022419219,-0.0018306374951959988,-0.001537608598234644,-0.0009126247271339501,-0.0011706772019879044,-0.0005715954976293818,-0.0013335849604602277,-0.001196036425917767,-0.0006254951167348272,-0.0011557419246660352,-0.00184699430479263
ShareBuyBack,3.038860836479861e-06,1.1004482702158952e-06,3.43471625958017e-05,2.796989124503043e-05,2.566996168532311e-06,1.1705766700975925e-05,-3.775673205513676e-05,4.0671168926723505e-05,-2.80804073213663e-05,-1.0747158408437904e-05,-2.370753802112506e-05,3.85297935017143e-06,-2.681993168516782e-05,0.0001021799289300074,2.79381860653403e-05,6.214949930723576e-06,6.316186825243872e-06,1.4516404732225583e-05,-4.118493299777843e-06,4.082083573043612e-06,2.426323372023218e-05,-1.4333329741359761e-05,2.2194410608090848e-05,0.0002732410007316642,0.0002740523493216382,0.00045192872934838723,0.00044302445405714706,0.0005232417839793608,0.00047636849548006845,0.0006523568717271979,0.00041100739486232477,0.00040347824808539975,0.00029187574072914223,0.0003028255717771208,0.0005762588354793466,0.0004889509699834028,0.0005818863957325149,0.0004904093988794739,0.00021913351413455957,0.0005172647251916854,0.0003413261506430327,0.0007744633414370688,0.00046326254469391517,0.00040189981569726683,0.0002808421805730419,0.0005658874350198683,0.0006191291042713585,0.000401038243766157,0.00038592498613173405,0.0003959920381777869,0.00048404627714150475,0.000439734423856361,0.0003284863145287294,0.0005464500606038278,0.0008310602815493973
DividendYield,-1.5344428398963423e-05,-1.1925616265938972e-05,5.59798225675665e-05,0.0001099280782674255,-1.0339671961482605e-05,9.065405732008401e-05,-0.0002747156702619597,6.668489145082719e-05,-4.748936496394229e-05,8.267123339719123e-06,-5.524368917469742e-05,-1.2675271584887022e-05,-0.00010054122358950074,2.79381860653403e-05,0.00025690620873615813,-1.7871479493984364e-06,2.390400311273028e-05,-1.9140246067480028e-05,1.3945375001725928e-05,5.6234205297367496e-05,-0.00010417803739756306,-2.9991355690400522e-05,5.713050727817663e-05,0.0004467660284799659,-0.00010867050369145138,0.00025735708871287363,0.00046830480853297013,0.000693686076088516,0.00028979543524602593,0.000527742284293967,0.00018073860745829195,0.0003070307190452864,9.697484285252258e-05,0.00031664828125085344,0.0005563559439141648,0.0006245084760676629,0.0007493238826768532,0.0007026953890712642,0.00023669632903636591,0.0004497660225945489,0.0005130388386732692,0.0010385609416065104,0.00013054564980811704,0.0007375986920675665,-0.0002106926889913362,0.001085572521081111,0.0013233748963213047,0.00021034958946028652,0.0004619071350193612,-1.2712205470709965e-05,0.0006936151211378433,0.0009760513018598165,-1.8244502267123587e-05,0.0003334253271097859,0.0017436222310807253
LongTermInvestment,2.438529815924511e-06,-1.777657227796873e-05,2.059530215584184e-05,-1.0302364498006758e-05,-0.00012397216496497768,0.00013615411050196973,3.404363894534202e-05,3.559336050649269e-05,-3.8043298547605744e-06,-1.1636312426686496e-05,1.0208891642184126e-05,5.207366309782903e-06,1.583103065811655e-05,6.214949930723576e-06,-1.7871479493984364e-06,0.00012006551731125058,-2.0358740452389527e-06,1.2937282869842418e-05,1.2849136866373631e-06,2.2806326429615043e-07,-1.7532759714653753e-05,-8.863472002929134e-06,-2.7261824844151568e-05,6.990334761729362e-06,5.203112405060349e-05,5.3027733570943043e-05,-2.110091925213719e-05,-5.74825405963122e-05,2.168847147806092e-06,5.2839511634583326e-05,0.00016487134173217812,4.9162763837218046e-05,-5.2367000889787716e-05,-3.4239129311775394e-05,0.0002899415899077649,-7.326345414622569e-05,4.8277690081444725e-06,-2.8207130681360748e-05,0.00024569484796397955,0.00014577993708678384,5.7693721458223104e-05,0.0003137883612423459,0.0002392966131217353,0.00012644470000341962,0.00014456497630414844,9.307268431231986e-05,0.00023169973931798764,0.00012807275215010768,0.00012848159814687177,0.0001509125657092812,-0.00010090000636223638,6.191979166442473e-05,8.91479555201655e-05,0.00013275354644899648,0.0001603367785617259
EarningsQuality,-3.282634257363299e-06,-7.3056961435592724e-06,3.138109841819309e-05,1.9490831000330927e-05,3.7016969963821654e-06,1.3093230568107587e-05,-2.083837873212423e-05,2.1178599227224186e-05,2.2192717650382452e-07,2.6241402568651488e-06,-4.101588633123744e-06,1.0729437289180248e-06,-3.751701522168571e-05,6.316186825243872e-06,2.390400311273028e-05,-2.0358740452389527e-06,7.242006428828974e-05,-7.14834971937336e-06,1.5031535054494475e-05,5.0200872803674455e-05,5.145999830878807e-05,1.50831560444529e-07,2.5589696998094093e-05,0.0002458062066646445,0.0002531660895884601,0.0003603265103913469,0.0003443287056202945,0.0004556785172144163,0.000379055021601326,0.0003667735434036007,0.0003355061001173662,0.0003013827390650135,0.0004613386338411301,0.0003429281562339352,0.00032197450588122736,0.00042968418078372084,0.0003933796616207897,0.0004222103894720928,0.00026707269327247153,0.0003700778317337212,0.0003379441533045092,0.0003497609859318288,0.00028758930160906274,0.00041205763094850337,0.0003126422233201354,0.000556707546623176,0.0004229630855472956,0.00034946323125596354,0.00041535549373451135,0.00031686813362899013,0.0003737912218943339,0.0003206484373276894,0.000292586828677125,0.0003807701891069098,0.00040590577738279363
FinancialLeverage,4.4055264876213686e-05,-3.7357599935627234e-05,-1.3536694804089555e-05,3.5553596963194316e-06,-1.504913613600138e-05,1.5970489881759915e-05,4.575435605179491e-05,-3.654172276130967e-05,3.6300774341363103e-06,-8.008559928059425e-05,5.8030939822492065e-05,-1.4183175281094163e-05,1.9295882431638557e-05,1.4516404732225583e-05,-1.9140246067480028e-05,1.2937282869842418e-05,-7.14834971937336e-06,0.0001225349000481713,4.791994872066361e-06,-4.6452726168719315e-05,-0.0001769422274480601,-2.092039358778331e-05,2.9055529192513932e-05,-0.00021368002897463476,9.345519320801594e-05,-0.00021400375133009825,-0.0004315168359166453,-0.0003847332545823079,-0.00024108674330473588,-2.816032228769862e-05,-0.00025746990325142523,-0.00029483198574215425,-0.0003823356064952645,-0.00016340848200289133,-2.7419073500430165e-05,-0.00036230374232219,-0.0003324428267219945,-0.00027812309279714526,-8.424091049179476e-05,-0.00015167709246601154,-0.0002208140046681758,-0.00012924330730904935,0.00015408390252136383,-0.00020322426342133968,-0.0002639855288111575,-0.00032811501054637874,-0.00015221665559394718,-0.00019278363581535122,-0.0003740216966058684,5.324350897559251e-05,-0.0001520589232727681,-0.0003596053265128278,-0.0002676035726783276,-0.00018427561442512004,-0.00021222685972363442
CurrentRatio,7.2259122439848556e-06,5.084464618608551e-06,-6.65232482812088e-05,5.178850049757583e-05,-2.7290999779684142e-05,4.531951430645439e-05,-1.4477968071998775e-05,1.851102604301532e-05,-6.4224304095035435e-06,1.8151306837451626e-06,-2.363233905053457e-05,-2.340968875292037e-05,-5.7248992184040385e-06,-4.118493299777843e-06,1.3945375001725928e-05,1.2849136866373631e-06,1.5031535054494475e-05,4.791994872066361e-06,0.00016934281774762692,4.5227414927350615e-05,0.00016360918077675416,1.414144330363141e-05,-1.359827121225535e-05,0.0001511175734739689,0.0002312939389305798,1.4155476803489278e-05,0.0002060567333544468,0.00023177711543101543,0.00022147405964537326,0.00024124663271144566,0.00019983727762109478,0.0002659784012117252,0.00038060278146271747,0.00015685483083971926,0.00030121667085428026,0.00026264716786795713,0.0004245657744054639,0.00021611419423855937,4.2645779738632476e-05,0.0002493502671596953,0.00015525279556839874,0.00041561628794194134,1.5427900421121788e-05,5.460078098182969e-05,0.0002549720466954855,0.00033039026268569585,0.0002489571098417954,0.0002979750004640291,0.000321425146842154,3.996900066988851e-05,0.0003454800903184323,3.1056708085698334e-05,0.0001610142605720315,0.0002789032393040986,0.0003664279551725125
ResidualRisk,-1.2991486044711933e-05,3.444396942255933e-05,2.073708980827623e-05,0.00019014221765471307,4.079739934286275e-05,-3.921031443937515e-06,-5.8602757333671767e-05,0.00018511776262374798,8.35481692079911e-06,3.761512271257495e-05,-0.00013130972907119377,1.3685158728964477e-05,-8.19437948118717e-05,4.082083573043612e-06,5.6234205297367496e-05,2.2806326429615043e-07,5.0200872803674455e-05,-4.6452726168719315e-05,4.5227414927350615e-05,0.0009119977089586434,0.0010858100688929339,-1.1747826987328013e-05,-6.77528330742787e-05,0.0024091997227874756,0.0021097449964648904,0.003164721774141689,0.0035029320736733663,0.0036005771686224053,0.003289236628763751,0.0036154205559586193,0.0033403226338290645,0.003764901196470384,0.003670708062746723,0.002664688595803098,0.0037599926910050385,0.0031167878490405178,0.0037055008259445753,0.003766875551263248,0.0025901991038480335,0.003574771939692871,0.002878961426517236,0.004198149745591104,0.0025379003616940814,0.003062199663763049,0.0035180437895100114,0.004223474143898272,0.0038628304310948523,0.0034982268566095807,0.004147773607081295,0.0020835324405577664,0.0033049168926806787,0.0026972413067744647,0.0033022154508724976,0.004105298712876577,0.004270414809302597
Beta,-0.00011921501456162545,0.00016990347759725501,-3.404113976168092e-05,0.00047500196077629556,2.409773866043519e-05,-9.867112815177061e-05,0.00021627233900122834,0.0004975617797768661,-0.00011806059509957051,0.00016978654892456715,-0.00042608132402387915,0.0001339146827003357,-0.00017992937963184783,2.426323372023218e-05,-0.00010417803739756306,-1.7532759714653753e-05,5.145999830878807e-05,-0.0001769422274480601,0.00016360918077675416,0.0010858100688929339,0.005222893670681744,4.841428064776254e-05,-6.022117644883443e-05,0.007501363493953833,0.006381075296483234,0.009765938198706173,0.010397492835063353,0.010445485824720302,0.010043195380476563,0.012778627334662618,0.009774324638129975,0.010353489380436417,0.01155966019782277,0.006896144738652164,0.011184536681244884,0.00866218032106627,0.011601983238413369,0.00953103216519559,0.007838494047862968,0.010891408532416689,0.007569329628007767,0.012385683735176643,0.007989420073426816,0.007816926314714584,0.011141180420428498,0.010621804939569362,0.009445277555056962,0.010813639621738284,0.011228449765422505,0.0066804807268958264,0.008691972537037776,0.007751482907957235,0.00988669430311706,0.012845853422124957,0.011501610316315709
