,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,Commercial & Professional Services,Diversified Financials,Transportation,Energy Equipment & Services,Health Insurance & Managed Care,Software & Services,Utilities,"Agricultural, Timber, Packaging & Building Materials",Retailing,"Food, Beverage & Tobacco",Capital Markets,Internet Retail & Consumer Electronics,Media,Capital Goods,Healthcare Equipment & Services,"Oil, Gas & Consumable Fuels",Real Estate Services,Telecom Services,REIT,"Pharmaceuticals, Biotechnology & Life Sciences",Technology Hardware & Equipment,Automobiles & Auto Components,Consumer Durables & Apparel,Metals & Mining,Household & Personal Products,Consumer Services,Semiconductors & Semiconductor Equipment,Banks,Chemicals,Oil & Gas E&P,Insurance,Food & Staple Retailing
LongTermGrowth,-3.5752273029689975e-05,1.4233190522583442e-05,2.9983629958407746e-05,-4.905790291493039e-05,5.391926014398731e-06,-1.047572819465568e-05,3.956261647675993e-05,3.5738773196765954e-05,2.3050943648537248e-05,4.217581178178232e-06,-5.546243650801895e-07,0.00013929164050469002,-2.4339725958306163e-05,2.4753487989862606e-06,-1.0401010496717644e-05,6.18268092295888e-06,-2.0415810438540705e-06,-1.0729885633976483e-05,-1.7894443329083976e-05,1.9476621992622353e-05,0.00012257246352094238,-2.815848059175665e-05,-1.4244058422522931e-05,0.00027499228602842637,0.0002078941818933393,0.0002882112825599873,-4.3057262354042094e-05,0.00010085173607098177,0.0005297341923991496,3.7365458490526227e-06,7.702780953842355e-05,0.0001639927129432951,5.883290163228817e-05,0.00021677242729539577,0.0005521880349784253,0.0004113186115099573,0.00018282011652216807,0.0002465535138188136,0.00014354633946729066,0.00015490583978877728,0.00031016848637050354,0.0001634861824935288,8.176472959551302e-05,0.00038504766119650945,-1.5865041618593556e-05,0.00023176577676808132,-4.897031727967975e-05,0.00011571124826386528,0.0002767090850006397,0.0002653434017131862,0.00010241328569362819,0.0002184944584836976,0.00012753617666351463,0.00013874394360568202,8.934256016929483e-05
ShortTermGrowth,6.978126268379839e-06,-4.855695222536962e-06,-2.419175069344857e-05,-0.00011650187430665991,2.558242625282247e-06,-5.173712286177034e-05,0.00023102085555159774,-9.039333762562216e-05,4.429927862108371e-05,1.7825233765730751e-06,4.9766318830025584e-05,-2.4339725958306163e-05,0.0002247836456952865,-2.440315949713986e-05,-9.643060812277948e-05,8.185593366826397e-06,-3.505616348131255e-05,1.3071567705999629e-05,-1.9491464038602415e-05,-7.628006718311506e-05,-0.00016898163958917883,2.8162688001552792e-05,-9.757578237767945e-05,-0.0008708584086765684,-0.0010988625280889867,-0.0014826320328145055,-0.0017267841110380339,-0.00040908837111123896,-0.000571917369006931,-0.0005514461397939804,-0.0013350186812288206,-0.0012084576688717098,-0.000807218529986276,-0.0011401268658518563,-0.0009955154154263957,-0.0008071722315966432,-0.0008994767106901201,-0.0011170548947082965,-0.0007900322631540069,-0.0015271912582011007,-0.0005562768979413949,-0.0009332569531166638,-0.0010736180351946874,-0.0005915578971568555,-0.0012977403521103035,-0.0015133535263083503,-0.0011355036230919892,-0.0011517619663602063,-0.0009162609784601219,-0.0011286768681770527,-0.0012500167802835332,-0.001771347743944194,-0.0012481420589653626,-0.0005400982795672152,-0.0008139794871289616
ShareBuyBack,3.575779746590395e-06,4.359972922289766e-06,2.8222032826325373e-05,2.96781557013355e-05,1.6529023869972704e-06,1.4766758947294774e-05,-3.421264171080192e-05,4.134558014556652e-05,-2.6052670189762645e-05,-1.1105668263402485e-05,-2.1436853867658277e-05,2.4753487989862606e-06,-2.440315949713986e-05,0.00010351470238618995,2.8582143407648466e-05,8.278966650676834e-06,6.007694079385867e-06,1.600717883945262e-05,-7.304106276993803e-08,2.2333927958212013e-06,1.6199044801936336e-05,-1.7110791054588134e-05,2.152151723348584e-05,0.00044897726391315856,0.0005159148331680791,0.0006013445077020427,0.0008042426044680151,0.00026859649208978116,0.0003212308185168117,0.0002067446499895013,0.0004800127811487382,0.0005258658239490317,0.0002705892346742229,0.0005525069482909406,0.00041786158304645937,0.00040335041989696715,0.0003928639277320534,0.00041532608894564354,0.0005596119186392836,0.0006203309932248999,0.000376852093223606,0.0003900374671581785,0.00033316852291733997,0.0002789747989523645,0.0004917289371369844,0.0005524243217776745,0.0003890149222107917,0.00044112076667907757,0.00047888249103377785,0.00029293091389639324,0.0006427494790173431,0.0005585735587186785,0.0007599130519932096,0.00048333510159099597,0.0003349320172892159
DividendYield,-1.452067218937388e-05,-1.5035453301312096e-05,6.200891637916589e-05,0.00010625655875623588,-1.1483351412359859e-05,8.928419809370119e-05,-0.00026542681792968983,6.509912517659707e-05,-4.905670160413071e-05,7.1712686964882275e-06,-5.205137564980821e-05,-1.0401010496717644e-05,-9.643060812277948e-05,2.8582143407648466e-05,0.00025636404126266134,4.204371348949168e-06,2.3374848757713136e-05,-1.773864413151249e-05,1.8288985649644526e-05,4.5538623313535e-05,-0.00011117403715581638,-2.545250778803004e-05,5.9754638804788496e-05,0.0002032220594251952,0.00041727491904220825,0.0006694312460417977,0.0016791565494428565,-0.00012169375151220148,-7.169028304626321e-05,0.0002741319787888432,0.0006252754019762049,0.0005747461005374395,0.00041884238364207254,0.00028725326226179584,0.0002835261758202188,0.0001631781547102616,0.00017529908796309554,0.00043307364269655127,0.0005541155931217097,0.0012958725871933913,-3.56996230294966e-06,0.0006757111913663296,0.0005021460196095725,-0.00022315340068287872,0.0006353081590831518,0.0006514823628571333,0.00035939980836087053,0.0009582756909668581,0.00027050301250547084,8.413240366936794e-05,0.0004783435157901431,0.0009910298379740457,0.001021418900885362,6.524640109971588e-05,0.00030132170571497903
LongTermInvestment,-1.3643741326587862e-06,-1.5845403912581538e-05,2.5975367429573306e-05,-6.940039220059979e-06,-0.00012020653867451743,0.00013381444684660313,1.5164272781435268e-05,3.8553724787111636e-05,-6.963687608205759e-06,-7.0258622539544e-06,1.6882889455433983e-06,6.18268092295888e-06,8.185593366826397e-06,8.278966650676834e-06,4.204371348949168e-06,0.00011579484454544433,3.019924221297412e-06,5.347698692212968e-06,-4.9222402582313935e-06,9.515791786045728e-06,-1.1871341945186346e-05,-9.378974395277354e-06,-2.8353867840500852e-05,0.00011652196982064966,0.00019455106060721413,6.660472564013546e-05,0.00028998032014763774,9.600283746933899e-05,0.00014821514526919187,0.0002477411561788523,7.438963410541367e-05,-1.296602448937173e-05,5.9851061272755926e-05,0.00019930487507584493,5.6027777319949955e-05,0.0002228126960196878,0.00017269677866171813,9.278192247658547e-05,0.0003399953148273412,0.00029703085728124593,0.00017243518141125293,0.00023019953376531032,0.0001397254496950025,0.00016091358189218477,-6.054717831134064e-05,6.65949227787524e-07,0.0001996798052662853,0.00011990603691956974,5.2881489384095033e-05,1.712380034676358e-05,0.00014056858900460888,0.0002108155605039623,0.0003819728895205556,0.0002743394974641462,-3.553108578964774e-05
EarningsQuality,5.645397916686427e-07,-1.0528326043231123e-05,2.6720040166428802e-05,1.997738835041086e-05,-5.154215588059752e-06,2.3804133704806024e-05,-1.236209191071301e-05,2.279930616775023e-05,1.253975556261219e-06,-2.761719881735876e-06,8.512828230001839e-07,-2.0415810438540705e-06,-3.505616348131255e-05,6.007694079385867e-06,2.3374848757713136e-05,3.019924221297412e-06,6.959166113515864e-05,2.6971103564744736e-07,1.923244227815637e-05,4.955997425482079e-05,4.868415256934624e-05,-7.133302330701343e-07,2.752223790704921e-05,0.0003309484247326583,0.00035448251152675,0.00037942181828552616,0.00036867885878168145,0.00022829357909838447,0.0002548991270298669,0.000268739910075901,0.00038496426425338687,0.00039138860307060013,0.00021312147250241982,0.00034999985605717023,0.0003018419985347252,0.0002983091216816685,0.00034377356800735997,0.000273817002553122,0.00030756302292079683,0.00042040805266318256,0.00031458635293921957,0.0003708975166369853,0.00028244260790375207,0.0003032137722594482,0.00037497024781747154,0.00041921184559016474,0.0004150990879787181,0.00028444959410464193,0.00034055549233591166,0.0003986507029232791,0.0003292459624609623,0.0005298103526206048,0.0003428417300490373,0.0002915174198789079,0.00034290108907006567
FinancialLeverage,4.029522127396791e-05,-3.209188112326029e-05,-1.0758789241055025e-05,1.669945130086476e-06,-1.7578821088454395e-06,2.822785562135441e-06,2.664663788242081e-05,-3.398818928450476e-05,2.6836228826767436e-06,-7.376849555346133e-05,5.243134691314355e-05,-1.0729885633976483e-05,1.3071567705999629e-05,1.600717883945262e-05,-1.773864413151249e-05,5.347698692212968e-06,2.6971103564744736e-07,0.00011170057661191259,-9.063422012422104e-07,-4.663025917715224e-05,-0.00017722330979064716,-1.9460597586205004e-05,2.6033816993536327e-05,-0.0001792171363796459,-0.00015573593925709484,-0.00033404402614438763,-0.00014137495115721342,0.00016855519885044986,-0.00023795304683265852,-0.0001140227170425798,-0.00021922241895291696,-0.00031830867433516296,-0.00015943644033935314,-0.00014223564988061747,-0.0003487808948014603,-0.00021897099051521062,-0.00019190981708668912,-0.00031213025878947377,-1.1086624711475472e-05,-0.0001338973648433275,6.38381696760267e-05,-0.0001268301918168258,-0.00013814971792719657,-0.0002718359852260374,-0.00015633541047136565,-0.00033767684387064835,-0.00040448268544221694,-0.00031187567283452646,-0.0001840816172787234,-0.0002737020803495393,4.191910027230735e-05,-0.0002853781054061984,-8.789180951073422e-05,0.00013836445856843266,-0.0001597897192658223
CurrentRatio,5.121529547586778e-06,4.352439005994114e-07,-5.1887868378314636e-05,5.102181431098593e-05,-2.3135368278082944e-05,4.083192282585692e-05,-3.6742160068011026e-05,2.6122128264263815e-05,-1.0591091679870839e-05,5.578021752900776e-06,-3.013251756434263e-05,-1.7894443329083976e-05,-1.9491464038602415e-05,-7.304106276993803e-08,1.8288985649644526e-05,-4.9222402582313935e-06,1.923244227815637e-05,-9.063422012422104e-07,0.00016024959545658313,5.014334793008736e-05,0.0001948596888895651,1.4124423174668268e-05,-1.3759429067077711e-05,0.00010104466636063483,0.0003095006276158209,0.0004892262310972348,0.0005524629465725539,0.0002584912075454909,0.00025380151263835413,4.90072929462331e-05,0.00031521863224203805,0.0002551486881316221,0.00022444066046916754,0.00033988867557372597,0.0002908780912491177,0.000267110668418105,0.0003525992863140264,0.00032576010638117245,0.0004026135343442731,0.00031010718634062024,9.86644669213073e-05,0.0001462387692207219,0.00019868140472963317,0.0002972472036598208,0.00042028477303412444,0.0002632215551493648,0.0003740341659380767,0.00012154303593877086,0.0003033811857203404,0.0004408705862475127,0.00034913933980474336,0.00042506379706423123,0.0005491149900934293,4.254422165174002e-05,0.00016625755077695183
ResidualRisk,-1.0339681327773434e-05,3.156592962938718e-05,2.9921652964466592e-05,0.00018384059516996242,4.2607229337026536e-05,-1.2889856098426534e-05,-3.4565452818471974e-05,0.00018901926457271198,1.0632103941263238e-05,3.9713994339964564e-05,-0.0001271464734035602,1.9476621992622353e-05,-7.628006718311506e-05,2.2333927958212013e-06,4.5538623313535e-05,9.515791786045728e-06,4.955997425482079e-05,-4.663025917715224e-05,5.014334793008736e-05,0.0009290239012661903,0.0011164812159950993,-5.4470360048341685e-06,-7.066340613369574e-05,0.0031864162268143135,0.0036277448929167306,0.003703093168026438,0.004231898304166772,0.002135401766549482,0.003348239286773552,0.0027074530546511914,0.003749559920894308,0.003115313375687094,0.0024299567847156167,0.004151711812233796,0.003869086945414786,0.003422477774168411,0.0035545107888911268,0.0035255786753707052,0.0038463245097033957,0.003859695614540919,0.0021763608564880996,0.003024548155649352,0.0029220121899496123,0.003617075301640438,0.0033264137681562164,0.003634937331969275,0.004132019527293912,0.002732472460619607,0.0033726426183462647,0.0037653833713803216,0.0036377369032933116,0.004174547174501524,0.004245544891662157,0.0025333087301011316,0.002749383084333703
Beta,-0.00012005260324209357,0.00017950246549167508,-6.0707860318477184e-05,0.0004995821920875166,3.1868021865343616e-05,-0.00011264857975398955,0.0002576745478760146,0.0005097439415884769,-0.00012810880063355402,0.00018121007412401198,-0.000440108465445475,0.00012257246352094238,-0.00016898163958917883,1.6199044801936336e-05,-0.00011117403715581638,-1.1871341945186346e-05,4.868415256934624e-05,-0.00017722330979064716,0.0001948596888895651,0.0011164812159950993,0.005287672513242443,5.29209057626098e-05,-5.550189626289249e-05,0.009811736260130356,0.011065361275934415,0.011780005915126046,0.011478792994220147,0.006323588865236426,0.009915375118315237,0.00805527218092679,0.009691232332158529,0.008946451369385265,0.007520138897193316,0.013045323651697947,0.010546449405818266,0.009901204203887586,0.011023577635377197,0.010499102243653406,0.011319241626590381,0.009583152025345473,0.006733746265888342,0.007895197228484842,0.007813055341539742,0.011290202286710687,0.0088518710637557,0.010706697882605363,0.011547933561943337,0.007740403000564656,0.010116589260558282,0.011814540714584097,0.012905923351163685,0.010817146102642044,0.012381224403331403,0.008094983346458879,0.007097246695972153
