,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,Automobiles & Auto Components,Household & Personal Products,Health Insurance & Managed Care,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Healthcare Equipment & Services,Insurance,Metals & Mining,Telecom Services,Capital Markets,Banks,Internet Retail & Consumer Electronics,"Food, Beverage & Tobacco",Food & Staple Retailing,Oil & Gas E&P,"Pharmaceuticals, Biotechnology & Life Sciences",Capital Goods,Technology Hardware & Equipment,Consumer Services,Retailing,Consumer Durables & Apparel,"Agricultural, Timber, Packaging & Building Materials",Diversified Financials,Software & Services,Chemicals,Media,Real Estate Services,Transportation,Commercial & Professional Services,Utilities,Semiconductors & Semiconductor Equipment,REIT
ROA,4.142736775199902e-05,7.895489468057902e-06,3.128717744272109e-05,-0.00012475377017258978,-6.19376163884379e-06,-6.437801475485706e-05,6.108153393692089e-05,-8.53916701176833e-05,6.540976303009348e-05,-5.622311177579934e-05,0.00022819055209630202,-1.986186580797738e-06,5.517556435239936e-05,-2.1495344486231008e-05,-5.551022419933707e-05,6.717936925020861e-06,-2.8551405922812207e-06,5.735072999111301e-05,-2.4751721653614434e-05,-0.00012968227661177298,-0.00043832500999664125,-1.644361149644037e-05,-2.427662108855298e-05,-0.0011829134582916746,-0.0010492824462335468,-0.0005948145072334228,-0.0019896140804245934,-0.0014829984607061064,-0.0013182361981742227,-0.0010275554713097036,-0.0015481821192726032,-0.0004316605438378262,-0.001662255910799489,-0.001755425337145738,-0.0010426599750204364,-0.0009051394596097417,-0.0008633280323336997,-0.0019305658770548651,-0.0010420414999558862,-0.0012775305884419799,-0.0008200104201593907,-0.0011348315925928446,-0.0010776101991450888,-0.0013168586856034184,-0.0012406412345016158,-0.0013638014572684364,-0.0008857225597514882,-0.001428917218540816,-0.0010206178910067939,-0.001463875404237284,-0.0015167868205053163,-0.0010468669951561225,-0.001004847352312233,-0.0007873081083706676,-0.0011338611633290557
LongTermGrowth,-3.636586423234526e-05,1.5823911786228056e-05,2.969023513263003e-05,-4.852110383034978e-05,6.985548875481729e-06,-1.083730965773195e-05,3.300625168213598e-05,3.5875054560815045e-05,2.3523290729524254e-05,5.047279519215041e-06,-1.986186580797738e-06,0.00013807363259793771,-2.5615728238972524e-05,2.982477781869954e-06,-9.140906084353869e-06,4.06559063675599e-06,-4.4265972155684297e-07,-1.3431900760139892e-05,-1.9231232888565162e-05,2.10027172494002e-05,0.0001292258678667,-2.8115262464139e-05,-1.5597378777876418e-05,-5.640996724864594e-06,0.0001430528031510785,0.00013728773608346104,-2.0948274708383116e-06,0.000160098579156192,0.00028245171592381445,0.00014972682959473528,-4.1382125130970274e-05,0.00031428278774398916,0.00024243524141248697,0.0001356464139659634,0.0005503033564039308,8.747143471903414e-05,9.425420465768373e-05,0.00016515790812506322,9.812644587190734e-05,0.0001937094218038148,0.00039659195897849336,0.00030346129742247444,0.0001837970563858435,0.0002518083065421553,0.000101428245421055,0.0002201073238386858,0.0005517157778074279,0.00024131192846235333,0.0004269433633608926,0.00017246486265048834,0.0003069689147768692,0.00029870193209083183,4.754180016557074e-07,0.0002979831827726289,0.00019126724061532477
ShortTermGrowth,9.972177834949844e-06,-5.966816033365238e-06,-2.9263713908809528e-05,-0.00011871605824054573,-2.4068466020586713e-06,-4.888605542788109e-05,0.00025014892396556644,-9.311513593737895e-05,4.474640238991089e-05,-2.5527223820444347e-06,5.517556435239936e-05,-2.5615728238972524e-05,0.00023223945496491556,-2.5495144166190012e-05,-0.00010329754593147429,1.5827137762344195e-05,-3.8797678970623006e-05,1.8332747144640254e-05,-9.886948719634613e-06,-8.543377873755066e-05,-0.00017886404531344257,3.24032649989746e-05,-9.525594338022566e-05,-0.0013650417963085007,-0.0012219745381367028,-0.00041834559918797054,-0.0018558636997635443,-0.0008310737005367901,-0.0011953154561158091,-0.0006012879300439527,-0.0012211652539773033,-0.0005623769434528743,-0.0011969849207086965,-0.0013296655738391494,-0.001024486250312175,-0.0008646999447491737,-0.0008347821481991765,-0.0013058144389406353,-0.001107714528239434,-0.0009335924315715915,-0.0006083171255042802,-0.0009696531041142975,-0.001256786504495531,-0.0015687908190811183,-0.0014313462048360093,-0.0011466043066462959,-0.0006525473295074762,-0.001876107047992964,-0.0008498321742371832,-0.0015742754687919308,-0.0015690485766541589,-0.000950547108712755,-0.0005272460388240681,-0.001161113953697875,-0.001026756181045285
ShareBuyBack,3.4144357603972936e-06,3.7608445214817043e-06,2.9528677164295516e-05,2.98401324630246e-05,5.550348027686678e-07,1.589138657991168e-05,-3.648095565522307e-05,4.060320630061415e-05,-2.541788976017578e-05,-1.1634472320133628e-05,-2.1495344486231008e-05,2.982477781869954e-06,-2.5495144166190012e-05,0.00010228942941918276,2.925845907130596e-05,7.436238695495894e-06,5.965226747779364e-06,1.607887330406703e-05,-1.853359226642184e-06,4.5212437848579305e-06,2.319444759555059e-05,-1.7354733708489764e-05,2.1043899371829684e-05,0.0005042155098118773,0.0004539802058630807,0.0002787711624957906,0.0008284481185124196,0.0005684744401239393,0.00042497268290812455,0.0004963416364157462,0.0004068470360110456,0.0003840466161769773,0.0005647365576922393,0.0006572875691262282,0.00043181441442899403,0.00028194797627114455,0.000332999691904972,0.0007750002045907021,0.00033012970991101834,0.00040447971745395005,0.00029208029226227537,0.0004884221047747754,0.0005244063496894926,0.0005543461059009402,0.0004926867622131,0.0005301213697144316,0.00034178650863946205,0.0005759695445179167,0.00041340374539778984,0.0006306324394891446,0.0006196672892449145,0.000466431106340093,0.00021036929437046338,0.0002903959149285353,0.00040219780564082204
DividendYield,-1.6272846721322352e-05,-1.4862157131583364e-05,6.5658927120493e-05,0.0001081736057616599,-8.546929067482165e-06,8.701419069989025e-05,-0.0002773051606066853,6.692845686331069e-05,-4.945926986288858e-05,9.56185288114045e-06,-5.551022419933707e-05,-9.140906084353869e-06,-0.00010329754593147429,2.925845907130596e-05,0.00025858486832002473,-1.3049983335944022e-06,2.563809401053928e-05,-2.0357407559393283e-05,1.0815137437360164e-05,5.271776239552363e-05,-9.957749229005305e-05,-2.8704940550524358e-05,5.871957846928737e-05,0.0006962413251565937,0.001007957522655895,-0.00011504122698274647,0.0017727792707215651,0.0005872905615001041,0.0004914140203419329,0.00011988834805506127,0.0004404564868599472,9.60243575524313e-06,0.0003379984355474199,0.000542567237060017,0.0003180815297902064,0.00046163381262048336,0.0003213318532958108,0.0010616684669517307,0.0005275983583636491,0.0002120077467356182,-0.00019776413341116052,0.00031313639378681467,0.0006111762628875755,0.0006968115244782508,0.0007034118850192047,0.0004637650710460675,-2.532307930469745e-06,0.001077042180626146,0.00020128882598668206,0.0013326054636755133,0.000744166528714101,0.0002711621709412305,0.0002629627882480098,0.00010930767371582787,0.0007438465890920905
LongTermInvestment,1.756653074613513e-06,-1.8981490992140527e-05,2.2406306952489426e-05,-8.789459687838662e-06,-0.00012427327484906147,0.00013594444598875134,3.340259254600425e-05,3.490559655720798e-05,-6.826827833080507e-06,-1.1603977460214257e-05,6.717936925020861e-06,4.06559063675599e-06,1.5827137762344195e-05,7.436238695495894e-06,-1.3049983335944022e-06,0.00012027993790190175,-1.5169702672975731e-06,1.2551877507095569e-05,1.576017990350943e-06,2.459851708208817e-06,-2.1984228796389862e-05,-7.049323460855922e-06,-2.5523559388390053e-05,-0.00011403187809196323,4.750587805420699e-05,5.630074131296153e-05,0.00017476988896402175,0.0003020282967182736,2.2694123399454444e-07,0.0002292992994163772,0.0001375185804060936,0.00015749034363356216,0.00013324317159823298,5.852479094618648e-05,3.470880461036701e-05,-1.469385239630199e-06,-6.191874327546979e-05,0.00031796320683083083,8.513948726566656e-05,0.0001369738868384757,0.00013697346914444433,-1.047828546116142e-05,-7.383891290620619e-05,-6.72303972989036e-05,-1.3233881264318529e-05,0.00014948403248876243,7.809368117527058e-05,0.00011314843022187795,0.00017065418011734637,0.00024431401198644594,-9.50071527312359e-06,4.467118488137851e-05,0.000260237401276004,-4.731456193267442e-05,0.00014199429064291847
EarningsQuality,-1.9934455925512067e-06,-6.376059738109848e-06,2.676474854981399e-05,2.0089866990842783e-05,1.3588922785328671e-06,1.8055435901482908e-05,-2.4018032905379518e-05,2.466821389630372e-05,1.7529746139559304e-06,1.7504211034970116e-06,-2.8551405922812207e-06,-4.4265972155684297e-07,-3.8797678970623006e-05,5.965226747779364e-06,2.563809401053928e-05,-1.5169702672975731e-06,7.211348370362006e-05,-6.897050266832614e-06,1.5681665210247164e-05,5.247841295286004e-05,5.2253317535831914e-05,-1.3986427413849832e-06,2.4534001708216067e-05,0.0003892112274407946,0.0003230220400109198,0.00025971695019243006,0.0004186669133179253,0.0003133904823555566,0.0003341469681139051,0.0002977845232470057,0.0004269086920772406,0.00031198386604077127,0.0003810050888685782,0.0003689754035134755,0.00029523684150532873,0.0002492217010140925,0.00035566641752127497,0.0003660120312401479,0.0003209807392815306,0.00035099431127096634,0.00030450401746496853,0.00037729016145407273,0.00042998812129092697,0.00045836274777490935,0.0004279710026810956,0.0003626449418975606,0.0002864598291771205,0.000569764331714036,0.0003236039143250384,0.0004337117464751091,0.00040731181264591057,0.00036172542062968324,0.0002458479074201426,0.00045364576095358787,0.00041542166665272
FinancialLeverage,4.4449433292227395e-05,-3.999552448352137e-05,-9.452542366437322e-06,2.5458181708792044e-06,-1.3851288005662405e-05,1.3348157815684757e-05,4.571084256464494e-05,-3.689871369127269e-05,1.4555914577805236e-06,-8.095121795741082e-05,5.735072999111301e-05,-1.3431900760139892e-05,1.8332747144640254e-05,1.607887330406703e-05,-2.0357407559393283e-05,1.2551877507095569e-05,-6.897050266832614e-06,0.0001238269977804996,2.8149920908685845e-06,-4.86733062079423e-05,-0.0001793621510640395,-1.939733705620612e-05,3.103364094090508e-05,-0.00016582462741123453,-0.00037065237542449365,9.185106086502434e-05,-0.00020516974165665555,-1.7031909762423487e-05,-0.000423746251747814,0.00013810353959346934,-0.0003960022640729776,6.49417375603071e-05,-0.00019585086422562988,-2.7093584464444994e-05,-0.0003158474436548978,-0.00022186468423826094,-0.00018539278980280247,-0.00012518222436213393,-0.00021506771334919484,-0.00019649349542792154,-0.0002737958692847372,-0.0002496876087041321,-0.0003917225231326419,-0.00040946033534188783,-0.00028156496043523513,-0.0001589035678162043,-0.00027973967675192006,-0.00033888000176118056,-0.0002595140696217824,-0.00015908348315932147,-0.0003609318167159211,-0.00022327407056970072,-7.864159179033776e-05,-0.00038807970702024606,-0.00020557662835323054
CurrentRatio,7.516179599007012e-06,-1.5419105652365398e-08,-5.597285865445759e-05,4.6754958292721624e-05,-2.5329569885326535e-05,3.978042205917993e-05,-1.6629121936453535e-05,2.2574525674968843e-05,-9.758988686535586e-06,3.293025181950452e-06,-2.4751721653614434e-05,-1.9231232888565162e-05,-9.886948719634613e-06,-1.853359226642184e-06,1.0815137437360164e-05,1.576017990350943e-06,1.5681665210247164e-05,2.8149920908685845e-06,0.00016587971254298953,4.014117655939761e-05,0.0001741979836943759,1.8043320245137683e-05,-1.2719437217215526e-05,0.0003340939233835692,3.458226831661864e-05,0.0002237261796395709,0.00039323670693726674,0.0003359211142769121,0.00023139022173755775,-2.717965942953907e-05,0.0002750891514613505,7.533846504998248e-05,0.00025818795396577356,0.0002459338703378461,0.00023668727639937327,0.00015051813496813878,0.00013627262797535653,0.00044934119180189004,0.00015542066067532724,0.00029537631310919685,0.0002541906575678793,0.00023094947979977214,0.00019384679981445014,0.00019010317307677178,0.00020578777491929976,0.00023701631379717162,0.0001586280252030443,0.00029836758596031067,0.0002071690622630688,0.00022991282845925842,0.00037732710639866473,7.1573147383206815e-06,5.2920782889738194e-05,0.0003877494115061899,4.494525376967209e-05
ResidualRisk,-1.3208721719162916e-05,3.0700919233488875e-05,3.4834055070908566e-05,0.00018535684394414863,4.3176625933036415e-05,-1.06456260136144e-05,-5.6696944702900164e-05,0.0001891348763996195,8.641933983711862e-06,4.0013101736229444e-05,-0.00012968227661177298,2.10027172494002e-05,-8.543377873755066e-05,4.5212437848579305e-06,5.271776239552363e-05,2.459851708208817e-06,5.247841295286004e-05,-4.86733062079423e-05,4.014117655939761e-05,0.0009199306607479207,0.0011206539719987945,-1.0037000653237535e-05,-7.049162365893289e-05,0.0033599816710330574,0.0027823291995709115,0.0021397296725386675,0.004339039128206647,0.003859875594934443,0.003575332492664259,0.002567223115304676,0.004169584024762702,0.0021624844684469805,0.004173798546768075,0.0036873856771493145,0.003849266710798955,0.0024722560631815884,0.002731757134103488,0.00428908384061841,0.0029167237175687115,0.003553764505502003,0.0036134641846275557,0.0033897333087430023,0.003125943090846215,0.003652180052200235,0.0038026074283204884,0.0036461393644312717,0.003398607387394287,0.004239526429101167,0.003424650670890609,0.00390526714770786,0.0037510815248117265,0.0032424114681183724,0.002668018591311708,0.003749299993675791,0.003097684758207858
Beta,-0.00012227139195156224,0.00017869984704027596,-4.752422667877859e-05,0.0004920079579060977,2.293096509253264e-05,-9.415719077979534e-05,0.0002152332271220959,0.0005007353420727071,-0.00011868590500906767,0.00017020890385955898,-0.00043832500999664125,0.0001292258678667,-0.00017886404531344257,2.319444759555059e-05,-9.957749229005305e-05,-2.1984228796389862e-05,5.2253317535831914e-05,-0.0001793621510640395,0.0001741979836943759,0.0011206539719987945,0.0053121052219256126,4.784178691647145e-05,-6.317160109796603e-05,0.008875690310273155,0.007887436131875612,0.006555429456345813,0.011731002205022205,0.01137871995718293,0.010614365602517821,0.008180613048962957,0.011527900724200357,0.006787707742619427,0.013129853569431032,0.013042806007698074,0.01057874545515692,0.007654970025292092,0.007014461941156181,0.012616391376628813,0.007746773768332227,0.01105023429512322,0.011358935366686574,0.010225554502348853,0.008924085949076118,0.010688792665096036,0.00976038516980924,0.01113162014587381,0.010092445065559962,0.0109151346072424,0.009966425756623367,0.009681060801611378,0.01188745759881744,0.009963082909263943,0.007994197714450023,0.011796570001510185,0.008016064743196466
